country,energy_type,year,energy_consumption,energy_production,gdp,population,energy_intensity_per_capita,energy_intensity_by_gdp,co2_emission
Bangladesh,petroleum_n_other_liquids,2002,0.171632221845842,0.013128720901639,277.91,132478,4.43949582227962,2.11628054961664,12
Bangladesh,renewables_n_other,2002,0.010752861,0.010752861,277.91,132478,4.43949582227962,2.11628054961664,0
Barbados,all_energy_types,2002,0.023941208571748,0.003213689262821,4.08407,273.423,87.5610631576285,5.86209554972081,1.662776317
Barbados,coal,2002,0,0,4.08407,273.423,87.5610631576285,5.86209554972081,0
Barbados,natural_gas,2002,0.001072269345,0.001072269345,4.08407,273.423,87.5610631576285,5.86209554972081,0.062776317
Barbados,petroleum_n_other_liquids,2002,0.022868939226748,0.002141419917821,4.08407,273.423,87.5610631576285,5.86209554972081,1.6
Barbados,renewables_n_other,2002,0,0,4.08407,273.423,87.5610631576285,5.86209554972081,0
Belarus,all_energy_types,2002,0.980390452515217,0.085593888871563,86.883,9745.93,100.594858829811,11.2840308520104,53.852183737
Belarus,coal,2002,0.005978786965502,0,86.883,9745.93,100.594858829811,11.2840308520104,0.87777077853302
Belarus,natural_gas,2002,0.6203708357,0.00695811445,86.883,9745.93,100.594858829811,11.2840308520104,34.974412958
Belarus,petroleum_n_other_liquids,2002,0.335085456710896,0.078350930421563,86.883,9745.93,100.594858829811,11.2840308520104,18
Belarus,renewables_n_other,2002,0.018955373138819,0.000284844,86.883,9745.93,100.594858829811,11.2840308520104,0
Belgium,all_energy_types,2002,2.68303817798723,0.486964286552,423.754,10338.53,259.518343322236,6.33159375011736,138.815114588
Belgium,coal,2002,0.246161349939714,0,423.754,10338.53,259.518343322236,6.33159375011736,27.9172411111371
Belgium,natural_gas,2002,0.600150349575,0,423.754,10338.53,259.518343322236,6.33159375011736,30.896116477
Belgium,petroleum_n_other_liquids,2002,1.31975931550426,0,423.754,10338.53,259.518343322236,6.33159375011736,80.001757
Belgium,nuclear,2002,0.465855311552,0.465855311552,423.754,10338.53,259.518343322236,6.33159375011736,0
Belgium,renewables_n_other,2002,0.051111851416263,0.021108975,423.754,10338.53,259.518343322236,6.33159375011736,0
Belize,all_energy_types,2002,0.00877249146248,0.001072976829,1.76245,262.387,33.4334073810059,4.97744132456524,0.9
Belize,coal,2002,0,0,1.76245,262.387,33.4334073810059,4.97744132456524,0
Belize,natural_gas,2002,0,0,1.76245,262.387,33.4334073810059,4.97744132456524,0
Belize,petroleum_n_other_liquids,2002,0.00708194263348,0,1.76245,262.387,33.4334073810059,4.97744132456524,0.9
Belize,renewables_n_other,2002,0.001690548829,0.001072976829,1.76245,262.387,33.4334073810059,4.97744132456524,0
Benin,all_energy_types,2002,0.03054525247,0.001813832338798,18.3784,7295.4,4.18691949310524,1.66201913496278,1.7
Benin,coal,2002,0,0,18.3784,7295.4,4.18691949310524,1.66201913496278,0
Benin,natural_gas,2002,0,0,18.3784,7295.4,4.18691949310524,1.66201913496278,0
Benin,petroleum_n_other_liquids,2002,0.02903386247,0.001793486338798,18.3784,7295.4,4.18691949310524,1.66201913496278,1.7
Benin,renewables_n_other,2002,0.00151139,2.0346E-05,18.3784,7295.4,4.18691949310524,1.66201913496278,0
Bermuda,all_energy_types,2002,0.00878665823,0,5.84059,65.5142,134.118377847856,1.50441277850354,0.5
Bermuda,coal,2002,0,0,5.84059,65.5142,134.118377847856,1.50441277850354,0
Bermuda,natural_gas,2002,0,0,5.84059,65.5142,134.118377847856,1.50441277850354,0
Bermuda,petroleum_n_other_liquids,2002,0.00878665823,0,5.84059,65.5142,134.118377847856,1.50441277850354,0.5
Bermuda,renewables_n_other,2002,0,0,5.84059,65.5142,134.118377847856,1.50441277850354,0
Bhutan,all_energy_types,2002,0.020721910062897,0.0233730220918,2.5916,614.106,33.7432138147118,7.99579798691827,0.220313797
Bhutan,coal,2002,0.001340008261897,0.0012162280918,2.5916,614.106,33.7432138147118,7.99579798691827,0.120313796592986
Bhutan,natural_gas,2002,0,0,2.5916,614.106,33.7432138147118,7.99579798691827,0
Bhutan,petroleum_n_other_liquids,2002,0.002469351801,0,2.5916,614.106,33.7432138147118,7.99579798691827,0.1
Bhutan,renewables_n_other,2002,0.01691255,0.022156794,2.5916,614.106,33.7432138147118,7.99579798691827,0
Bolivia,all_energy_types,2002,0.138826880206655,0.321053475999057,42.4481,8742.82,15.8789589865347,3.27050869665911,7.705578224
Bolivia,coal,2002,0,0,42.4481,8742.82,15.8789589865347,3.27050869665911,7.96526058151439E-06
Bolivia,natural_gas,2002,0.0376422585,0.214044215,42.4481,8742.82,15.8789589865347,3.27050869665911,1.605570259
Bolivia,petroleum_n_other_liquids,2002,0.078415943560584,0.084272605999057,42.4481,8742.82,15.8789589865347,3.27050869665911,6.1
Bolivia,renewables_n_other,2002,0.022768678146072,0.022736655,42.4481,8742.82,15.8789589865347,3.27050869665911,0
Bosnia and Herzegovina,all_energy_types,2002,0.220653931929455,0.168675057672872,28.7626,3759.39,58.6940785418525,7.67155722811758,14.42719838
Bosnia and Herzegovina,coal,2002,0.119534492269455,0.115622862672872,28.7626,3759.39,58.6940785418525,7.67155722811758,10.8695863963516
Bosnia and Herzegovina,natural_gas,2002,0.0056051968,0,28.7626,3759.39,58.6940785418525,7.67155722811758,0.557611984
Bosnia and Herzegovina,petroleum_n_other_liquids,2002,0.04626301586,0,28.7626,3759.39,58.6940785418525,7.67155722811758,3
Bosnia and Herzegovina,renewables_n_other,2002,0.049251227,0.053052195,28.7626,3759.39,58.6940785418525,7.67155722811758,0
Botswana,all_energy_types,2002,0.054010406649387,0.021222994371504,17.86904,1704.638,31.6843849834317,3.02256901598447,3.511330594
Botswana,coal,2002,0.021155788899387,0.021222994371504,17.86904,1704.638,31.6843849834317,3.02256901598447,1.91133059405162
Botswana,natural_gas,2002,0,0,17.86904,1704.638,31.6843849834317,3.02256901598447,0
Botswana,petroleum_n_other_liquids,2002,0.02782874175,0,17.86904,1704.638,31.6843849834317,3.02256901598447,1.6
Botswana,renewables_n_other,2002,0.005025876,0,17.86904,1704.638,31.6843849834317,3.02256901598447,0
Brazil,all_energy_types,2002,8.44829904442843,7.00048178270852,2071.78,179798.2,46.9876730936596,4.07779737444537,331.635044954
Brazil,coal,2002,0.456991704250935,0.081959827878117,2071.78,179798.2,46.9876730936596,4.07779737444537,52.6996285334346
Brazil,natural_gas,2002,0.491782564,0.298595388,2071.78,179798.2,46.9876730936596,4.07779737444537,21.863786024
Brazil,petroleum_n_other_liquids,2002,4.185626645285,3.20888566893041,2071.78,179798.2,46.9876730936596,4.07779737444537,257.071630396958
Brazil,nuclear,2002,0.1433410876,0.1433410876,2071.78,179798.2,46.9876730936596,4.07779737444537,0
Brazil,renewables_n_other,2002,3.17055704329249,3.2676998103,2071.78,179798.2,46.9876730936596,4.07779737444537,0
British Virgin Islands,all_energy_types,2002,0.00161602796,0,1.25916,21.128,76.4875028398334,1.28341748467232,0.06038
British Virgin Islands,coal,2002,0,0,1.25916,21.128,76.4875028398334,1.28341748467232,0
British Virgin Islands,natural_gas,2002,0,0,1.25916,21.128,76.4875028398334,1.28341748467232,0
British Virgin Islands,petroleum_n_other_liquids,2002,0.00161602796,0,1.25916,21.128,76.4875028398334,1.28341748467232,0.06038
British Virgin Islands,renewables_n_other,2002,0,0,1.25916,21.128,76.4875028398334,1.28341748467232,0
Brunei,all_energy_types,2002,0.089079328358138,0.792873391369382,24.3091,346.777,256.87784471905,3.66444370043062,4.24837587
Brunei,coal,2002,0,0,24.3091,346.777,256.87784471905,3.66444370043062,0
Brunei,natural_gas,2002,0.06174792435,0.40117663425,24.3091,346.777,256.87784471905,3.66444370043062,2.64837587
Brunei,petroleum_n_other_liquids,2002,0.027331404008138,0.391696757119382,24.3091,346.777,256.87784471905,3.66444370043062,1.6
Brunei,renewables_n_other,2002,0,0,24.3091,346.777,256.87784471905,3.66444370043062,0
Bulgaria,all_energy_types,2002,0.768864033362279,0.428673258465059,86.6515,7829.248,98.2040718805024,8.87306086290808,44.485910249
Bulgaria,coal,2002,0.239843776267973,0.181623650896025,86.6515,7829.248,98.2040718805024,8.87306086290808,26.0311309723434
Bulgaria,natural_gas,2002,0.1060038476,0.0007127456,86.6515,7829.248,98.2040718805024,8.87306086290808,5.454779277
Bulgaria,petroleum_n_other_liquids,2002,0.195689748918718,0.001587882969035,86.6515,7829.248,98.2040718805024,8.87306086290808,13
Bulgaria,nuclear,2002,0.22254132,0.22254132,86.6515,7829.248,98.2040718805024,8.87306086290808,0
Bulgaria,renewables_n_other,2002,0.004785340575588,0.022207659,86.6515,7829.248,98.2040718805024,8.87306086290808,0
Burkina Faso,all_energy_types,2002,0.016919023613,0.000651072,14.9043,12293.1,1.37630244714515,1.13517733895587,1.1
Burkina Faso,coal,2002,0,0,14.9043,12293.1,1.37630244714515,1.13517733895587,0
Burkina Faso,natural_gas,2002,0,0,14.9043,12293.1,1.37630244714515,1.13517733895587,0
Burkina Faso,petroleum_n_other_liquids,2002,0.015892631613,0,14.9043,12293.1,1.37630244714515,1.13517733895587,1.1
Burkina Faso,renewables_n_other,2002,0.001026392,0.000651072,14.9043,12293.1,1.37630244714515,1.13517733895587,0
Burma,all_energy_types,2002,0.1756273339911,0.380200943139758,68.7328,47702.2,3.68174495078004,2.55521867276031,8.891136346
Burma,coal,2002,0.005577860056203,0.011776625686206,68.7328,47702.2,3.68174495078004,2.55521867276031,0.507970945729175
Burma,natural_gas,2002,0.081888422,0.312664884,68.7328,47702.2,3.68174495078004,2.55521867276031,3.2831654
